"country_id","count"
33,1
1,1
76,8
5,1
106,1
104,7
18,2
64,2
55,1
27,3
23,53
56,1
58,1
91,3
8,1
87,5
74,4
54,2
29,6
71,2
68,1
4,2
34,4
51,2
96,1
70,1
52,2
80,28
83,1
67,5
63,3
90,1
10,2
35,1
105,6
45,14
6,13
107,4
86,5
84,1
39,2
92,10
93,3
89,2
101,3
36,2
69,13
31,1
50,31
102,8
60,30
14,2
97,15
66,1
108,2
109,1
22,3
59,3
13,2
65,1
2,3
16,1
62,3
75,20
98,1
73,3
11,1
103,35
44,60
42,1
99,1
88,1
82,5
41,1
40,1
46,8
43,1
32,1
53,1
7,1
9,3
100,6
38,7
15,28
79,1
26,1
12,3
48,4
85,11
72,5
95,1
78,2
57,1
24,6
81,1
61,1
19,2
77,2
25,2
94,3
30,1
21,1
49,7
47,1
3,1
17,2
28,3
20,7
37,1
